,id,name,form,gen,type1,type2,stats,hp,attack,defense,sp_attack,sp_defense,speed,species,height_m,weight_kg,ability_0,ability_1,ability_hidden,ev_yield,catch_rate,growth_rate,egg_groups,male_percent,female_percent,egg_cycles,egg_steps,is_legendary,evo_1,evo_1_details,evo_2,evo_3,evo_2_details,evo_stage,evo_is_final
0,1,Bulbasaur,,1,grass,poison,318,45,49,49,65,65,45,Seed Pokémon,0.7,6.9,Overgrow,,Chlorophyll,1 Sp. Atk,45,Medium Slow,"Grass,Monster",87.5,12.5,20.0,5140.0,0,Bulbasaur,Level 16,Ivysaur,Venusaur,Level 32,1.0,0
1,2,Ivysaur,,1,grass,poison,405,60,62,63,80,80,60,Seed Pokémon,1.0,13.0,Overgrow,,Chlorophyll,"1 Sp. Atk, 1 Sp. Def",45,Medium Slow,"Grass,Monster",87.5,12.5,20.0,5140.0,0,Bulbasaur,Level 16,Ivysaur,Venusaur,Level 32,2.0,0
2,3,Venusaur,,1,grass,poison,525,80,82,83,100,100,80,Seed Pokémon,2.0,100.0,Overgrow,,Chlorophyll,"2 Sp. Atk, 1 Sp. Def",45,Medium Slow,"Grass,Monster",87.5,12.5,20.0,5140.0,0,Bulbasaur,Level 16,Ivysaur,Venusaur,Level 32,3.0,1
3,4,Charmander,,1,fire,,309,39,52,43,60,50,65,Lizard Pokémon,0.6,8.5,Blaze,,Solar Power,1 Speed,45,Medium Slow,"Dragon,Monster",87.5,12.5,20.0,5140.0,0,Charmander,Level 16,Charmeleon,Charizard,Level 36,1.0,0
4,5,Charmeleon,,1,fire,,405,58,64,58,80,65,80,Flame Pokémon,1.1,19.0,Blaze,,Solar Power,"1 Sp. Atk, 1 Speed",45,Medium Slow,"Dragon,Monster",87.5,12.5,20.0,5140.0,0,Charmander,Level 16,Charmeleon,Charizard,Level 36,2.0,0
5,6,Charizard,,1,fire,flying,534,78,84,78,109,85,100,Flame Pokémon,1.7,90.5,Blaze,,Solar Power,3 Sp. Atk,45,Medium Slow,"Dragon,Monster",87.5,12.5,20.0,5140.0,0,Charmander,Level 16,Charmeleon,Charizard,Level 36,3.0,1
6,7,Squirtle,,1,water,,314,44,48,65,50,64,43,Tiny Turtle Pokémon,0.5,9.0,Torrent,,Rain Dish,1 Defense,45,Medium Slow,"Monster,Water 1",87.5,12.5,20.0,5140.0,0,Squirtle,Level 16,Wartortle,Blastoise,Level 36,1.0,0
7,8,Wartortle,,1,water,,405,59,63,80,65,80,58,Turtle Pokémon,1.0,22.5,Torrent,,Rain Dish,"1 Defense, 1 Sp. Def",45,Medium Slow,"Monster,Water 1",87.5,12.5,20.0,5140.0,0,Squirtle,Level 16,Wartortle,Blastoise,Level 36,2.0,0
8,9,Blastoise,,1,water,,530,79,83,100,85,105,78,Shellfish Pokémon,1.6,85.5,Torrent,,Rain Dish,3 Sp. Def,45,Medium Slow,"Monster,Water 1",87.5,12.5,20.0,5140.0,0,Squirtle,Level 16,Wartortle,Blastoise,Level 36,3.0,1
9,10,Caterpie,,1,bug,,195,45,30,35,20,20,45,Worm Pokémon,0.3,2.9,Shield Dust,,Run Away,1 HP,255,Medium Fast,Bug,50.0,50.0,15.0,3855.0,0,Caterpie,Level 7,Metapod,Butterfree,Level 10,1.0,0
10,11,Metapod,,1,bug,,205,50,20,55,25,25,30,Cocoon Pokémon,0.7,9.9,Shed Skin,,,2 Defense,120,Medium Fast,Bug,50.0,50.0,15.0,3855.0,0,Caterpie,Level 7,Metapod,Butterfree,Level 10,2.0,0
11,12,Butterfree,,1,bug,flying,395,60,45,50,90,80,70,Butterfly Pokémon,1.1,32.0,Compound Eyes,,Tinted Lens,"2 Sp. Atk, 1 Sp. Def",45,Medium Fast,Bug,50.0,50.0,15.0,3855.0,0,Caterpie,Level 7,Metapod,Butterfree,Level 10,3.0,1
12,13,Weedle,,1,bug,poison,195,40,35,30,20,20,50,Hairy Bug Pokémon,0.3,3.2,Shield Dust,,Run Away,1 Speed,255,Medium Fast,Bug,50.0,50.0,15.0,3855.0,0,Weedle,Level 7,Kakuna,Beedrill,Level 10,1.0,0
13,14,Kakuna,,1,bug,poison,205,45,25,50,25,25,35,Cocoon Pokémon,0.6,10.0,Shed Skin,,,2 Defense,120,Medium Fast,Bug,50.0,50.0,15.0,3855.0,0,Weedle,Level 7,Kakuna,Beedrill,Level 10,2.0,0
14,15,Beedrill,,1,bug,poison,395,65,90,40,45,80,75,Poison Bee Pokémon,1.0,29.5,Swarm,,Sniper,"2 Attack, 1 Sp. Def",45,Medium Fast,Bug,50.0,50.0,15.0,3855.0,0,Weedle,Level 7,Kakuna,Beedrill,Level 10,3.0,1
15,16,Pidgey,,1,normal,flying,251,40,45,40,35,35,56,Tiny Bird Pokémon,0.3,1.8,Keen Eye,Keen Eye,Big Pecks,1 Speed,255,Medium Slow,Flying,50.0,50.0,15.0,3855.0,0,Pidgey,Level 18,Pidgeotto,Pidgeot,Level 36,1.0,0
